,stadium,country,capacity,region,average_capacity,stadium_count,regional_rank,avg_capacity
Top 10 Stadiums by Capacity,,,,,,,,
,Wembley Stadium,England,90000.0,Europe,,,,57250.677777777775
,Lusail Stadium,Qatar,88966.0,West Asia,,,,57331.04347826087
,Estadio Azteca,Mexico,87523.0,North America,,,,67126.65384615384
,Bukit Jalil National Stadium,Malaysia,87411.0,Southeast Asia,,,,51154.818181818184
,Borg El-Arab Stadium,Egypt,86000.0,Africa,,,,53810.181818181816
,Estadio Santiago Bernabéu,Spain,85000.0,Europe,,,,57250.677777777775
,Estadio Mâs Monumental,Argentina,84567.0,South America,,,,49958.43548387097
,Stadium Australia,Australia,83500.0,Oceania,,,,64697.57142857143
,MetLife Stadium,United States,82500.0,North America,,,,67126.65384615384
,Croke Park,Ireland,82300.0,Europe,,,,57250.677777777775
,Jakarta International Stadium,Indonesia,82000.0,Southeast Asia,,,,51154.818181818184
,Lambeau Field,United States,81441.0,North America,,,,67126.65384615384
,Signal Iduna Park,Germany,81365.0,Europe,,,,57250.677777777775
,Stade de France,France,81338.0,Europe,,,,57250.677777777775
,Grand Sports Arena of the Luzhniki Olympic Complex,Russia,81000.0,Europe,,,,57250.677777777775
,Shah Alam Stadium,Malaysia,80372.0,Southeast Asia,,,,51154.818181818184
,Estadio Monumental,Peru,80093.0,South America,,,,49958.43548387097
,Stadio Giuseppe Meazza,Italy,80018.0,Europe,,,,57250.677777777775
,Guangdong Olympic Stadium,China,80012.0,East Asia,,,,53442.22222222222
,AT&T Stadium,United States,80000.0,North America,,,,67126.65384615384
,Hangzhou Olympic Sports Expo Centre Stadium,China,80000.0,East Asia,,,,53442.22222222222
,Beijing National Stadium,China,80000.0,East Asia,,,,53442.22222222222
,Stade des Martyrs,DR Congo,80000.0,Africa,,,,53810.181818181816
,Maracanã,Brazil,78838.0,South America,,,,49958.43548387097
,Los Angeles Memorial Coliseum,United States,78467.0,North America,,,,67126.65384615384
,Azadi Stadium,Iran,78116.0,West Asia,,,,57331.04347826087
,Stadion Utama Gelora Bung Karno,Indonesia,77193.0,Southeast Asia,,,,51154.818181818184
,Caesar's Superdome,United States,76468.0,North America,,,,67126.65384615384
,Arrowhead Stadium,United States,76412.0,North America,,,,67126.65384615384
,Empower Field,United States,76125.0,North America,,,,67126.65384615384
,Atatürk Olimpiyat Stadyumu,Turkey,76092.0,Europe,,,,57250.677777777775
,Old Trafford,England,76000.0,Europe,,,,57250.677777777775
,Allianz Arena,Germany,75024.0,Europe,,,,57250.677777777775
,Naghsh-e-Jahan Stadium,Iran,75000.0,West Asia,,,,57331.04347826087
,Bank of America Stadium,United States,74867.0,North America,,,,67126.65384615384
,Principality Stadium,Wales,74500.0,Europe,,,,57250.677777777775
,Olympiastadion,Germany,74475.0,Europe,,,,57250.677777777775
,Cairo International Stadium,Egypt,74100.0,Africa,,,,53810.181818181816
,FirstEnergy Stadium,United States,73200.0,North America,,,,67126.65384615384
,Estádio Nacional Mané Garrincha,Brazil,72788.0,South America,,,,49958.43548387097
,Stadio Olimpico,Italy,72698.0,Europe,,,,57250.677777777775
,Nissan Stadium,Japan,72327.0,East Asia,,,,53442.22222222222
,NRG Stadium,United States,72220.0,North America,,,,67126.65384615384
,Shanghai Stadium,China,72000.0,East Asia,,,,53442.22222222222
,M&T Bank Stadium,United States,71008.0,North America,,,,67126.65384615384
,Mercedes-Benz Stadium,United States,71000.0,North America,,,,67126.65384615384
,Riyadh Air Metropolitano,Spain,70692.0,Europe,,,,57250.677777777775
,Olympic National Sports Complex Stadium,Ukraine,70000.0,Europe,,,,57250.677777777775
,SoFi Stadium,United States,70000.0,North America,,,,67126.65384615384
,Seoul Olympic Stadium,South Korea,69950.0,East Asia,,,,53442.22222222222
,Bakı Olimpiya stadionu,Azerbaijan,69870.0,West Asia,,,,57331.04347826087
,Olympic Stadium,Greece,69618.0,Europe,,,,57250.677777777775
,Olympiastadion München,Germany,69250.0,Europe,,,,57250.677777777775
,Lumen Field,United States,69000.0,North America,,,,67126.65384615384
,Estadio Olímpico Universitario,Mexico,68954.0,North America,,,,67126.65384615384
,Gillette Stadium,United States,68756.0,North America,,,,67126.65384615384
,Prince Moulay Abdellah Stadium,Morocco,68700.0,Africa,,,,53810.181818181816
,King Abdullah Sports City Stadium,Saudi Arabia,68560.0,West Asia,,,,57331.04347826087
,Lincoln Financial Field,United States,68532.0,North America,,,,67126.65384615384
,Levi's Stadium,United States,68500.0,North America,,,,67126.65384615384
,Acrisure Stadium,United States,68400.0,North America,,,,67126.65384615384
,Gazprom Arena,Russia,68134.0,Europe,,,,57250.677777777775
,Estádio do Sport Lisboa e Benfica,Portugal,68100.0,Europe,,,,57250.677777777775
,National Stadium,Japan,68000.0,East Asia,,,,53442.22222222222
,Salt Lake Stadium,India,68000.0,South Asia,,,,49577.77777777778
,TIAA Bank Field,United States,67814.0,North America,,,,67126.65384615384
,Orange Vélodrome,France,67394.0,Europe,,,,57250.677777777775
,Puskás Aréna,Hungary,67215.0,Europe,,,,57250.677777777775
,Scottish Gas Murrayfield Stadium,Scotland,67144.0,Europe,,,,57250.677777777775
,Stade Mohammed V,Morocco,67000.0,Africa,,,,53810.181818181816
,MorumBIS,Brazil,66975.0,South America,,,,49958.43548387097
,Yadegar-e-Emam Stadium,Iran,66833.0,West Asia,,,,57331.04347826087
,Seoul World Cup Stadium,South Korea,66704.0,East Asia,,,,53442.22222222222
,Daegu Stadium,South Korea,66422.0,East Asia,,,,53442.22222222222
,Workers' Stadium,China,66161.0,East Asia,,,,53442.22222222222
,London Stadium,England,66000.0,Europe,,,,57250.677777777775
,Basra International Stadium,Iraq,65227.0,West Asia,,,,57331.04347826087
,Stade Ibn Battuta,Morocco,65000.0,Africa,,,,53810.181818181816
,Stade du 5 Juillet,Algeria,64200.0,Africa,,,,53810.181818181816
,Castelão,Brazil,63903.0,South America,,,,49958.43548387097
,Saitama Stadium 2002,Japan,63700.0,East Asia,,,,53442.22222222222
,Ellis Park Stadium,South Africa,62567.0,Africa,,,,53810.181818181816
,Tottenham Hotspur Stadium,England,62303.0,Europe,,,,57250.677777777775
,VELTINS-Arena,Germany,62271.0,Europe,,,,57250.677777777775
,Yizhong Sports Centre Stadium,China,62000.0,East Asia,,,,53442.22222222222
,Estádio Governador Magalhães Pinto,Brazil,61846.0,South America,,,,49958.43548387097
,King Fahd International Stadium,Saudi Arabia,61781.0,West Asia,,,,57331.04347826087
,Nanjing Olympic Sports Centre Stadium,China,61443.0,East Asia,,,,53442.22222222222
,Anfield,England,61276.0,Europe,,,,57250.677777777775
,Estadio Benito Villamarín,Spain,60720.0,Europe,,,,57250.677777777775
,Abuja Stadium,Nigeria,60491.0,Africa,,,,53810.181818181816
,MHPArena,Germany,60469.0,Europe,,,,57250.677777777775
,Celtic Park,Scotland,60411.0,Europe,,,,57250.677777777775
,Estadio de la UNSA,Peru,60370.0,South America,,,,49958.43548387097
,Emirates Stadium,England,60338.0,Europe,,,,57250.677777777775
,Shenzhen Universiade Sports Centre Stadium,China,60334.0,East Asia,,,,53442.22222222222
,Estadio Centenario,Uruguay,60235.0,South America,,,,49958.43548387097
,Estádio José do Rego Maciel,Brazil,60044.0,South America,,,,49958.43548387097
,Al-Bayt Stadium,Qatar,60000.0,West Asia,,,,57331.04347826087
,Hefei Olympic Sports Centre Stadium,China,60000.0,East Asia,,,,53442.22222222222
,Shenyang Olympic Sports Centre Stadium,China,60000.0,East Asia,,,,53442.22222222222
,Morodok Techo National Stadium,Cambodia,60000.0,Southeast Asia,,,,51154.818181818184
,Jawaharlal Nehru Stadium,India,60000.0,South Asia,,,,49577.77777777778
,Jaber al-Ahmad International Stadium,Kuwait,60000.0,West Asia,,,,57331.04347826087
,Stade Léopold Sédar Senghor,Senegal,60000.0,Africa,,,,53810.181818181816
,Benjamin Mkapa National Stadium,Tanzania,60000.0,Africa,,,,53810.181818181816
,Hammadi Agrebi Stadium,Tunisia,60000.0,Africa,,,,53810.181818181816
,National Heroes Stadium,Zambia,60000.0,Africa,,,,53810.181818181816
,Odi Stadium,South Africa,60000.0,Africa,,,,53810.181818181816
,National Sports Stadium,Zimbabwe,60000.0,Africa,,,,53810.181818181816
,Mogadishu Stadium,Somalia,60000.0,Africa,,,,53810.181818181816
,Estadio Monumental Isidro Romero Carbo,Ecuador,59283.0,South America,,,,49958.43548387097
,Groupama Stadium,France,59186.0,Europe,,,,57250.677777777775
,Chongqing Olympic Sports Centre Stadium,China,58680.0,East Asia,,,,53442.22222222222
,Kazimierz Górski National Stadium,Poland,58580.0,Europe,,,,57250.677777777775
,Stadio San Nicola,Italy,58270.0,Europe,,,,57250.677777777775
,Deutsche Bank Park,Germany,58000.0,Europe,,,,57250.677777777775
,Estadio La Cartuja de Sevilla,Spain,57619.0,Europe,,,,57250.677777777775
,La Bombonera,Argentina,57200.0,South America,,,,49958.43548387097
,Estadio Mario Alberto Kempes,Argentina,57000.0,South America,,,,49958.43548387097
,Jinan Olympic Sports Centre Stadium,China,56808.0,East Asia,,,,53442.22222222222
,19 May 1956 Stadium,Algeria,56000.0,Africa,,,,53810.181818181816
,El Cilindro,Argentina,55880.0,South America,,,,49958.43548387097
,Arena do Grêmio,Brazil,55662.0,South America,,,,49958.43548387097
,National Stadium,Taiwan,55000.0,East Asia,,,,53442.22222222222
,He Long Stadium,China,55000.0,East Asia,,,,53442.22222222222
,National Stadium,Singapore,55000.0,Southeast Asia,,,,51154.818181818184
,Moi International Sports Centre,Kenya,55000.0,Africa,,,,53810.181818181816
,Cape Town Stadium,South Africa,55000.0,Africa,,,,53810.181818181816
,Tianhe Stadium,China,54856.0,East Asia,,,,53442.22222222222
,Tianjin Olympic Sports Centre Stadium,China,54696.0,East Asia,,,,53442.22222222222
,Wuhan Sports Centre Stadium,China,54357.0,East Asia,,,,53442.22222222222
,Moses Mabhida Stadium,South Africa,54000.0,Africa,,,,53810.181818181816
,Busan Asiad Main Stadium,South Korea,53864.0,East Asia,,,,53442.22222222222
,Estádio Estadual Jornalista Edgar Augusto Proença,Brazil,53645.0,South America,,,,49958.43548387097
,Estadio Único Diego Armando Maradona,Argentina,53600.0,South America,,,,49958.43548387097
,Estádio Municipal João Havelange,Brazil,53350.0,South America,,,,49958.43548387097
,Estadio Nacional,Peru,53086.0,South America,,,,49958.43548387097
,Estadio Monumental de Maturín,Venezuela,51796.0,South America,,,,49958.43548387097
,Rajamangala National Stadium,Thailand,51552.0,Southeast Asia,,,,51154.818181818184
,Estádio José Pinheiro Borda,Brazil,50942.0,South America,,,,49958.43548387097
,Casa de Apostas Arena Fonte Nova,Brazil,50025.0,South America,,,,49958.43548387097
,Greenfield International Stadium,India,50000.0,South Asia,,,,49577.77777777778
,EMS Stadium,India,50000.0,South Asia,,,,49577.77777777778
,KD Singh Babu Stadium,India,50000.0,South Asia,,,,49577.77777777778
